unix_timestamp,time_since_midnight,distance,relative_time_us,relative_time_ms,relative_time_s,outlier_type
1748135023.411,72223.411,106.29,613998952,613998.952,3.141434000000004,distance
1748135023.432,72223.432,107.02,614019827,614019.827,3.1623089999999365,distance
1748135023.452,72223.452,106.54,614040475,614040.475,3.182956999999988,distance
1748135023.494,72223.494,107.04,614082689,614082.689,3.225170999999932,distance
1748135023.515,72223.515,106.16,614103414,614103.414,3.245896000000016,distance
1748135023.536,72223.536,107.02,614124123,614124.123,3.266605000000027,distance
1748135023.556,72223.556,107.04,614144774,614144.774,3.2872559999999567,distance
1748135023.577,72223.577,107.02,614165724,614165.724,3.308205999999928,distance
1748135023.598,72223.598,106.54,614186561,614186.561,3.329042999999956,distance
1748135023.619,72223.619,106.16,614207277,614207.277,3.349758999999949,distance
1748135023.64,72223.64,106.53,614228288,614228.288,3.370769999999993,distance
1748135023.661,72223.661,107.04,614249358,614249.358,3.391840000000002,distance
1748135023.682,72223.682,107.04,614270267,614270.267,3.4127489999999625,distance
1748135023.702,72223.702,106.65,614290912,614290.912,3.433394000000021,distance
1748135023.723,72223.723,106.54,614311614,614311.614,3.454095999999936,distance
1748135023.744,72223.744,107.04,614332422,614332.422,3.474903999999924,distance
1748135023.806,72223.806,106.71,614394899,614394.899,3.537380999999982,distance
1748135023.932,72223.932,107.02,614520467,614520.467,3.662949000000026,distance
1748135023.953,72223.953,107.02,614541187,614541.187,3.683669000000009,distance
1748135023.973,72223.973,106.58,614561966,614561.966,3.7044479999999567,distance
1748135024.036,72224.036,106.12,614624395,614624.395,3.7668770000000222,distance
1748135024.056,72224.056,106.62,614645030,614645.03,3.787511999999992,distance
1748135024.078,72224.078,106.53,614666469,614666.469,3.808950999999979,distance
1748135024.099,72224.099,106.14,614687167,614687.167,3.8296490000000176,distance
1748135024.119,72224.119,107.06,614708096,614708.096,3.850577999999928,distance
1748135024.14,72224.14,106.56,614728660,614728.66,3.871141999999963,distance
1748135024.181,72224.181,106.22,614770063,614770.063,3.912545000000023,distance
1748135024.202,72224.202,106.56,614790783,614790.783,3.933265000000006,distance
1748135024.244,72224.244,106.53,614832468,614832.468,3.9749499999999216,distance
1748135024.265,72224.265,106.65,614853347,614853.347,3.995828999999958,distance
1748135024.285,72224.285,106.54,614874030,614874.03,4.016511999999921,distance
1748135024.306,72224.306,107.02,614894832,614894.832,4.037313999999924,distance
